C,lambda,cv_auc,se,c_1se
0.001,1000.0,0.5,0.0,1.9144819761699576
0.0012663801734674035,789.6522868499725,0.5,0.0,1.9144819761699576
0.001603718743751331,623.5507341273911,0.5,0.0,1.9144819761699576
0.002030917620904735,492.3882631706741,0.5,0.0,1.9144819761699576
0.0025719138090593446,388.8155180308089,0.5,0.0,1.9144819761699576
0.0032570206556597828,307.029062975785,0.5,0.0,1.9144819761699576
0.004124626382901352,242.44620170823282,0.5,0.0,1.9144819761699576
0.0052233450742668434,191.44819761699574,0.5,0.0,1.9144819761699576
0.006614740641230145,151.1775070615663,0.5,0.0,1.9144819761699576
0.008376776400682916,119.37766417144368,0.5,0.0,1.9144819761699576
0.010608183551394482,94.26684551178855,0.5,0.0,1.9144819761699576
0.013433993325989001,74.43803013251689,0.5,0.0,1.9144819761699576
0.017012542798525893,58.780160722749116,0.5,0.0,1.9144819761699576
0.021544346900318832,46.4158883361278,0.5,0.0,1.9144819761699576
0.02728333376486768,36.65241237079628,0.5,0.0,1.9144819761699576
0.03455107294592218,28.942661247167518,0.5,0.0,1.9144819761699576
0.043754793750741844,22.854638641349908,0.5,0.0,1.9144819761699576
0.05541020330009492,18.047217668271703,0.5,0.0,1.9144819761699576
0.07017038286703826,14.251026703029984,0.5,0.0,1.9144819761699576
0.08886238162743403,11.253355826007652,0.5,0.0,1.9144819761699576
0.11253355826007645,8.886238162743407,0.5,0.0,1.9144819761699576
0.1425102670302998,7.017038286703829,0.7777777777777778,0.08784104611578832,1.9144819761699576
0.18047217668271703,5.541020330009491,0.8888888888888888,0.07349309197401639,1.9144819761699576
0.22854638641349906,4.3754793750741845,0.9444444444444444,0.05555555555555556,1.9144819761699576
0.28942661247167517,3.4551072945922185,0.9444444444444444,0.05555555555555556,1.9144819761699576
0.3665241237079626,2.7283333764867694,0.9444444444444444,0.05555555555555556,1.9144819761699576
0.46415888336127775,2.1544346900318843,0.9444444444444444,0.05555555555555556,1.9144819761699576
0.5878016072274912,1.7012542798525891,0.9444444444444444,0.05555555555555556,1.9144819761699576
0.7443803013251689,1.3433993325989002,0.9444444444444444,0.05555555555555556,1.9144819761699576
0.9426684551178854,1.060818355139448,0.9444444444444444,0.05555555555555556,1.9144819761699576
1.1937766417144358,0.8376776400682924,0.9444444444444444,0.05555555555555556,1.9144819761699576
1.5117750706156616,0.6614740641230152,0.9444444444444444,0.05555555555555556,1.9144819761699576
1.9144819761699576,0.5223345074266843,1.0,0.0,1.9144819761699576
2.424462017082328,0.41246263829013524,1.0,0.0,1.9144819761699576
3.07029062975785,0.3257020655659783,1.0,0.0,1.9144819761699576
3.888155180308085,0.25719138090593474,1.0,0.0,1.9144819761699576
4.923882631706737,0.2030917620904737,1.0,0.0,1.9144819761699576
6.235507341273912,0.1603718743751331,1.0,0.0,1.9144819761699576
7.896522868499725,0.12663801734674035,1.0,0.0,1.9144819761699576
10.0,0.1,1.0,0.0,1.9144819761699576
